user_id,n_candidates,n_prior_orders,ndcg10_model,recall10_model,ndcg10_baseline_freq,recall10_baseline_freq,ndcg10_baseline_freq_recency,recall10_baseline_freq_recency
21393,5,6,0.9674679834891693,1.0,0.9674679834891693,1.0,0.9674679834891693,1.0
194551,10,5,1.0,1.0,1.0,1.0,1.0,1.0
84207,10,6,0.9674679834891693,1.0,1.0,1.0,1.0,1.0
135659,33,4,0.38364913903790027,0.6666666666666666,0.6713860725233041,0.6666666666666666,0.6713860725233041,0.6666666666666666
167992,20,6,0.9060254355346823,1.0,0.9060254355346823,1.0,1.0,1.0
192860,46,13,0.5842273861585908,0.5,0.5709662133861837,0.5,0.5709662133861837,0.5
202600,57,4,0.27358726976933645,0.2727272727272727,0.35388057316851634,0.36363636363636365,0.35388057316851634,0.36363636363636365
33955,90,31,0.37466610587647853,0.25,0.18340980524840014,0.16666666666666666,0.18340980524840014,0.16666666666666666
70387,5,11,1.0,1.0,1.0,1.0,1.0,1.0
51488,63,10,0.4267169394068027,0.3333333333333333,0.45379693233402835,0.3333333333333333,0.443496354740707,0.3333333333333333
170823,36,9,0.38685280723454163,0.5,0.21840743681816419,0.5,0.21840743681816419,0.5
114290,44,11,0.7246262544989281,0.75,0.75369761125927,0.75,0.75369761125927,0.75
101500,23,6,0.5714285040141098,1.0,0.23719771276929622,0.5,0.448643819352159,1.0
142762,30,13,0.760965594441447,0.6666666666666666,0.6930221935231563,0.5555555555555556,0.6930221935231563,0.5555555555555556
102040,32,11,0.49818925746641285,0.6666666666666666,0.5307212739772434,0.6666666666666666,0.5307212739772434,0.6666666666666666
94949,79,18,0.7917063341896683,0.5,0.5806020001118019,0.375,0.5806020001118019,0.375
124706,44,6,0.0,0.0,0.0,0.0,0.0,0.0
97582,22,6,0.0,0.0,0.3562071871080222,1.0,0.0,0.0
163194,36,3,0.0,0.0,0.0,0.0,0.0,0.0
197834,48,12,0.5175725363450437,0.6666666666666666,0.5166400850076802,0.6666666666666666,0.5166400850076802,0.6666666666666666
137167,4,4,0.9197207891481876,1.0,0.6934264036172708,1.0,0.6934264036172708,1.0
79598,39,11,0.7949033785505173,0.8571428571428571,0.38972337529357015,0.42857142857142855,0.5981082598344335,0.5714285714285714
202174,4,4,0.9674679834891693,1.0,1.0,1.0,1.0,1.0
136989,42,35,0.46927872602275644,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.46927872602275644,0.3333333333333333
125818,18,6,0.7756199604526248,0.8,0.8200261225503443,0.8,0.8200261225503443,0.8
131538,2,4,1.0,1.0,1.0,1.0,1.0,1.0
138813,3,4,1.0,1.0,1.0,1.0,1.0,1.0
47404,26,5,0.8772153153380493,1.0,0.8772153153380493,1.0,0.8772153153380493,1.0
64695,25,4,0.9216017310213247,0.6923076923076923,0.9148568823583791,0.6923076923076923,0.9148568823583791,0.6923076923076923
113667,35,13,0.5988751049740156,0.5,0.6437684113853991,0.6,0.5861163849908828,0.5
143133,14,10,0.8179809735263114,1.0,0.8194270280062366,1.0,0.8519590445170673,1.0
43830,53,12,0.9162750860008065,0.8888888888888888,0.7469985389103326,0.6666666666666666,0.7469985389103326,0.6666666666666666
20709,12,21,0.6309297535714575,1.0,0.5,1.0,0.6309297535714575,1.0
195201,77,8,0.41462267409828074,0.3333333333333333,0.4183171370339615,0.4444444444444444,0.40839727031971895,0.4444444444444444
135276,70,5,0.44988737637276555,0.2222222222222222,0.47674870152787446,0.2777777777777778,0.416566946442348,0.2777777777777778
160013,59,5,0.7151857987862358,0.1935483870967742,0.8364586133797037,0.25806451612903225,0.7951657524814092,0.25806451612903225
51182,7,9,0.6309297535714575,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0
25573,9,3,0.5994875209249216,1.0,0.5813545283800633,1.0,0.5813545283800633,1.0
202160,59,10,0.7600791051976192,0.4666666666666667,0.6961622681399229,0.4,0.6906478832608419,0.4
147780,26,4,1.0,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0
28719,74,10,0.3391602052736161,0.2,0.3391602052736161,0.2,0.3391602052736161,0.2
59679,60,15,0.18154179253735267,0.3333333333333333,0.0,0.0,0.0,0.0
44924,34,3,0.41966500663677697,0.3333333333333333,0.286381299268402,0.3333333333333333,0.20815499636142162,0.3333333333333333
147581,41,5,0.35125161163747765,0.6,0.4731080163351061,0.6,0.3988244659805069,0.6
149723,83,9,0.5834330535576522,0.45454545454545453,0.5884674004369674,0.45454545454545453,0.5884674004369674,0.45454545454545453
90124,11,5,0.6774887494560811,1.0,0.7315682114753617,1.0,0.7315682114753617,1.0
94471,74,7,0.09478836436955079,0.09090909090909091,0.28444935123173903,0.36363636363636365,0.2140837143698417,0.2727272727272727
62617,24,4,0.7022199783726599,0.625,0.510383374527714,0.375,0.5824263271073694,0.5
171610,113,10,0.4544982762213801,0.2857142857142857,0.5579780239524,0.35714285714285715,0.4729327934832576,0.2857142857142857
34135,72,8,0.4703652827859579,0.4,0.26687965254220064,0.4,0.30078518014914984,0.4
124883,21,8,0.3898024239269037,0.5,0.37747370249186,0.5,0.2987100207034456,0.3333333333333333
203965,30,7,0.0,0.0,0.0,0.0,0.0,0.0
144649,55,5,0.5277610693352978,0.42857142857142855,0.6525535962827279,0.5714285714285714,0.6266432627014137,0.5714285714285714
168933,43,9,0.8603818544462509,0.4444444444444444,0.7967610662472993,0.3888888888888889,0.8643145546088339,0.4444444444444444
11425,62,12,0.28351493630661895,0.3,0.13886244387355456,0.1,0.13886244387355456,0.1
97163,7,6,0.9674679834891693,1.0,0.9325210919548239,1.0,0.9674679834891693,1.0
6174,27,5,0.0,0.0,0.0,0.0,0.0,0.0
131879,51,8,0.7989250580833909,0.8333333333333334,0.7409096387260823,0.6666666666666666,0.8493587936665266,0.8333333333333334
21995,20,6,0.5067321766826494,0.5,0.33725693702354287,0.25,0.4088805820474889,0.375
57950,38,3,0.6987957033953602,0.6,0.6870165078530993,0.6,0.7059054020403313,0.6
156603,18,10,0.46845052016107697,1.0,0.8175295903539445,1.0,0.8175295903539445,1.0
127653,50,11,0.5937751258332797,1.0,0.7328286204777911,1.0,0.7328286204777911,1.0
52646,73,5,0.6402900881481708,0.4375,0.6267310462031456,0.375,0.6267310462031456,0.375
110178,73,9,0.7757386182436072,0.75,0.7365896932159578,0.75,0.7365896932159578,0.75
95259,28,5,0.503500286393294,0.5,0.4695140628038534,0.375,0.5901544852164786,0.625
127850,75,13,0.570751383599252,0.5714285714285714,0.36647816651258897,0.42857142857142855,0.5594300337965408,0.5714285714285714
